V,MFPT
1,0.28408182897167367
5,0.3262957867649732
10,0.3873079580604696
15,0.4567638011037615
20,0.5337524533225099
25,0.6174506179683782
30,0.7071770677819076
35,0.802364076419351
40,0.9025199635055938
45,1.0072031950563967
50,1.1160075600064014
55,1.2285543002350698
60,1.3444877228408145
70,1.585194726366625
80,1.835677608826478
90,2.093770047006593
100,2.357569218585124
