W,clustered N=4,spaced N=4,% Diff
0.01,0.236302,0.236302,0.0
0.1,0.236438,0.236438,5.4e-05
1.0,0.237767,0.237755,0.005059
10.0,0.248234,0.247538,0.280266
100.0,0.273977,0.269512,1.629483
1000.0,0.282041,0.277307,1.678405
10000.0,0.282933,0.278293,1.63982
