V,MFPT
1,0.28408182897167367
10,0.3873079580604696
20, 0.5337524533225099
30, 0.7071770677819076
40, 0.9454297527494278
50, 1.1699199011958081
60, 1.410148270814272
120, 3.040986921075038
240, 6.342616119011889
