W,clustered N=8,spaced N=8,% Diff
0.01,0.236317,0.236317,2e-06
0.1,0.23659,0.236589,0.000257
1.0,0.239259,0.239202,0.024018
10.0,0.260954,0.257595,1.287452
100.0,0.321128,0.294972,8.144928
1000.0,0.343023,0.308835,9.966684
10000.0,0.345557,0.310756,10.070932
